date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:29:06	2273612/2273612	---M--	200	added ('OK')	image/jpeg	etag:%22b4dadbfe6d41b2b50f41e0fea2f886a5%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1741776705/tea_plantation_1_pidbbd.jpg	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1741776705/tea_plantation_1_pidbbd.jpg	(from https://www.booksrilankataxi.com/)
01:29:07	14186/14186	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:28%20GMT	https://www.booksrilankataxi.com/things-do-in-udawalawa-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-udawalawa-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:08	29938/29938	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-colombo-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-colombo-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:08	16630/16630	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:28%20GMT	https://www.booksrilankataxi.com/things-do-in-polonnaruwa-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-polonnaruwa-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:08	589183/589183	---M--	200	added ('OK')	image/png	etag:%22c685d12b49af8c57bb26dab89913ece9%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745467968/Untitled_design_4_1_zyhms3.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745467968/Untitled_design_4_1_zyhms3.png	(from https://www.booksrilankataxi.com/)
01:29:08	275058/275058	---M--	200	added ('OK')	image/jpeg	etag:%2204c16ce35830ea6b6c50392a42553c94%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1744951689/koneshwaram_1_k9akfs.jpg	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1744951689/koneshwaram_1_k9akfs.jpg	(from https://www.booksrilankataxi.com/)
01:29:08	13655/13655	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:26%20GMT	https://www.booksrilankataxi.com/things-do-in-batticaloa-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-batticaloa-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:09	13928/13928	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:28%20GMT	https://www.booksrilankataxi.com/things-do-in-tangalle-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-tangalle-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:09	633305/633305	---M--	200	added ('OK')	image/png	etag:%2238f94bfcba6ec8eb52da773b4137608d%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745911795/Untitled_design_52_2_hzt7js.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745911795/Untitled_design_52_2_hzt7js.png	(from https://www.booksrilankataxi.com/)
01:29:09	899463/899463	---M--	200	added ('OK')	image/png	etag:%227d33b04023b32f249bab7fef62b0a544%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745472195/Untitled_design_12_1_jm9glb.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745472195/Untitled_design_12_1_jm9glb.png	(from https://www.booksrilankataxi.com/)
01:29:09	562349/562349	---M--	200	added ('OK')	image/png	etag:%2221941cdc2af6977fe18a2969505e66ef%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745468259/Untitled_design_5_1_kqv6nv.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745468259/Untitled_design_5_1_kqv6nv.png	(from https://www.booksrilankataxi.com/)
01:29:10	504604/504604	---M--	200	added ('OK')	image/png	etag:%22ede612415de0adbcd5cd61d50f2e7ae4%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745896234/Untitled_design_36_1_iw0aky.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745896234/Untitled_design_36_1_iw0aky.png	(from https://www.booksrilankataxi.com/)
01:29:11	17133/17133	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-jaffna-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-jaffna-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:12	16226/16226	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-hikkaduwa-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-hikkaduwa-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:12	13865/13865	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-hiriketiya-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-hiriketiya-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:12	637180/637180	---M--	200	added ('OK')	image/png	etag:%2214d103ef14095552560000041ee595ea%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745923296/Untitled_design_55_1_paatct.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745923296/Untitled_design_55_1_paatct.png	(from https://www.booksrilankataxi.com/)
01:29:12	398633/398633	---M--	200	added ('OK')	image/png	etag:%2272f8b35816b6737f0110b220c3980e52%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1745986212/Untitled_design_57_1_eihfmd.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1745986212/Untitled_design_57_1_eihfmd.png	(from https://www.booksrilankataxi.com/)
01:29:12	4686/4686	---MCZ	200	added ('OK')	text/html	date:Sun,%2018%20May%202025%2019:59:13%20GMT	https://www.booksrilankataxi.com/cdn-cgi/l/email-protection	D:/extentions/newweb/asanka/www.booksrilankataxi.com/cdn-cgi/l/email-protection.html	(from https://www.booksrilankataxi.com/)
01:29:12	16246/16246	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-haputale-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-haputale-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:12	17580/17580	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-belihuloya-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-belihuloya-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:13	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%2268237b6f-4d7%22	https://www.booksrilankataxi.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	D:/extentions/newweb/asanka/www.booksrilankataxi.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://www.booksrilankataxi.com/)
01:29:14	16293/16293	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:27%20GMT	https://www.booksrilankataxi.com/things-do-in-kalutara-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-kalutara-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:15	19051/19051	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:28%20GMT	https://www.booksrilankataxi.com/things-do-in-ratnapura-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-ratnapura-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:15	25813/25813	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:28%20GMT	https://www.booksrilankataxi.com/things-do-in-negombo-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/things-do-in-negombo-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:15	15937/15937	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:29%20GMT	https://www.booksrilankataxi.com/tours/sri-lanka-tours/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/tours/sri-lanka-tours/index.html	(from https://www.booksrilankataxi.com/)
01:29:15	16651/16651	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:26%20GMT	https://www.booksrilankataxi.com/sri-lanka-adventure-activities/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/sri-lanka-adventure-activities/index.html	(from https://www.booksrilankataxi.com/)
01:29:16	1554047/1554047	---M--	200	added ('OK')	image/png	etag:%226361c0ab98653e07b8e27fba87287d83%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1742965957/watermarkwhite_gsxzae.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1742965957/watermarkwhite_gsxzae.png	(from https://www.booksrilankataxi.com/css/style.css)
01:29:17	13993/13993	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:24%20GMT	https://www.booksrilankataxi.com/best-vegetarian-restaurants-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/best-vegetarian-restaurants-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:18	15642/15642	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:25%20GMT	https://www.booksrilankataxi.com/hindu-temples-in-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/hindu-temples-in-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:18	15117/15117	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:30%20GMT	https://www.booksrilankataxi.com/travel-to-sri-lanka-guide/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/travel-to-sri-lanka-guide/index.html	(from https://www.booksrilankataxi.com/)
01:29:20	17731/17731	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:30%20GMT	https://www.booksrilankataxi.com/unique-wonders-of-sri-lanka-travel-guide/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/unique-wonders-of-sri-lanka-travel-guide/index.html	(from https://www.booksrilankataxi.com/)
01:29:20	22079/22079	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:26%20GMT	https://www.booksrilankataxi.com/popular-itineraries-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/popular-itineraries-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:20	14541/14541	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:25%20GMT	https://www.booksrilankataxi.com/best-wildlife-safari-in-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/best-wildlife-safari-in-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:21	2828751/2828751	---M--	200	added ('OK')	image/png	etag:%22f6aa60302c8a495d9f3d970a58ba292b%22	https://res.cloudinary.com/dhnw7pzb9/image/upload/v1742965662/waterma_lgv6hv.png	D:/extentions/newweb/asanka/res.cloudinary.com/dhnw7pzb9/image/upload/v1742965662/waterma_lgv6hv.png	(from https://www.booksrilankataxi.com/css/style.css)
01:29:21	14428/14428	---MCZ	200	added ('OK')	text/html	date:Sat,%2017%20May%202025%2008:47:26%20GMT	https://www.booksrilankataxi.com/tea-plantation-tours-sri-lanka/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/tea-plantation-tours-sri-lanka/index.html	(from https://www.booksrilankataxi.com/)
01:29:22	6646/6646	---MCZ	200	added ('OK')	text/css	etag:W/%2218aa97cbf28c3d3659d6b3ca99e3e8ee%22	https://www.booksrilankataxi.com/contact-booksrilankataxi/style.css	D:/extentions/newweb/asanka/www.booksrilankataxi.com/contact-booksrilankataxi/style.css	(from https://www.booksrilankataxi.com/contact-booksrilankataxi/)
01:29:23	25254/25254	---M-Z	200	added ('OK')	text/css	etag:%2263208edf-b96%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.19/css/intlTelInput.css	D:/extentions/newweb/asanka/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.19/css/intlTelInput.css	(from https://www.booksrilankataxi.com/contact-booksrilankataxi/)
01:29:24	29519/29519	---M-Z	200	added ('OK')	application/javascript	etag:%2263208edf-2aa3%22	https://cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.19/js/intlTelInput.min.js	D:/extentions/newweb/asanka/cdnjs.cloudflare.com/ajax/libs/intl-tel-input/17.0.19/js/intlTelInput.min.js	(from https://www.booksrilankataxi.com/contact-booksrilankataxi/)
01:29:24	1019/1019	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20May%202025%2008:47:24%20GMT	https://www.booksrilankataxi.com/contact-booksrilankataxi/terms-and-conditions/	D:/extentions/newweb/asanka/www.booksrilankataxi.com/contact-booksrilankataxi/terms-and-conditions/index.html	(from https://www.booksrilankataxi.com/contact-booksrilankataxi/)
01:29:25	8009/8009	---MCZ	200	added ('OK')	text/css	etag:W/%22952e0794ced31ae2e250a6e6b31bc069%22	https://www.booksrilankataxi.com/terms-and-conditions/terms.css	D:/extentions/newweb/asanka/www.booksrilankataxi.com/terms-and-conditions/terms.css	(from https://www.booksrilankataxi.com/terms-and-conditions/)
01:29:25	1019/1019	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2017%20May%202025%2008:47:24%20GMT	https://www.booksrilankataxi.com/terms-and-conditions/css/animation.css	D:/extentions/newweb/asanka/www.booksrilankataxi.com/terms-and-conditions/css/animation.30.delayed	(from https://www.booksrilankataxi.com/terms-and-conditions/)
01:29:26	12267/12267	---MCZ	200	added ('OK')	text/css	etag:W/%22f4b0c531975bce673116c6ae93b541dd%22	https://www.booksrilankataxi.com/travel-welcome-bonus/style.css	D:/extentions/newweb/asanka/www.booksrilankataxi.com/travel-welcome-bonus/style.css	(from https://www.booksrilankataxi.com/travel-welcome-bonus/)
01:29:26	102526/102526	---M-Z	200	added ('OK')	text/css	etag:%22656632a7-54f3%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	D:/extentions/newweb/asanka/cdnjs.cloudflare.com/ajax/libs/font-awesome/6.5.0/css/all.min.css	(from https://www.booksrilankataxi.com/travel-welcome-bonus/)
01:29:27	12755/12755	---MCZ	200	added ('OK')	text/css	etag:W/%2277a33cbfdbd02da24a5fee177da76668%22	https://www.booksrilankataxi.com/free-tourist-sim-card-sri-lanka/style.css	D:/extentions/newweb/asanka/www.booksrilankataxi.com/free-tourist-sim-card-sri-lanka/style.css	(from https://www.booksrilankataxi.com/free-tourist-sim-card-sri-lanka/)
